date,sentiment,metro_area,county_code
2020-09-12,0.1566666666666665,Phoenix,04013
2020-09-13,0.11333333333333333,Phoenix,04013
2020-09-14,-0.125,Phoenix,04013
2020-09-15,0.0,Phoenix,04013
2020-09-16,0.0,Phoenix,04013
2020-09-17,0.208333333333333,Phoenix,04013
2020-09-18,0.2533333333333334,Phoenix,04013
2020-09-19,0.35000000000000003,Phoenix,04013
2020-09-20,0.10833333333333334,Phoenix,04013
2020-09-21,0.0,Phoenix,04013
2020-09-22,0.7000000000000001,Phoenix,04013
2020-09-23,0.0,Phoenix,04013
2020-09-24,0.25,Phoenix,04013
2020-09-25,-0.027272727272727247,Phoenix,04013
2020-09-26,0.06818181818181801,Phoenix,04013
2020-09-27,0.0,Phoenix,04013
2020-09-28,0.27777777777777796,Phoenix,04013
2020-09-29,0.031060606060606004,Phoenix,04013
2020-09-30,0.27878787878787864,Phoenix,04013
2020-10-01,0.3361666666666666,Phoenix,04013
2020-10-02,0.0,Phoenix,04013
2020-10-03,0.09883333333333322,Phoenix,04013
2020-10-04,0.3333333333333333,Phoenix,04013
2020-10-05,0.0,Phoenix,04013
2020-10-06,-0.01666666666666668,Phoenix,04013
2020-10-07,-0.031172839506172667,Phoenix,04013
2020-10-08,-0.03203125,Phoenix,04013
2020-10-09,0.0479166666666665,Phoenix,04013
2020-10-10,0.3456944444444443,Phoenix,04013
2020-10-11,0.09571428571428568,Phoenix,04013
2020-10-12,0.22901785714285702,Phoenix,04013
2020-10-13,0.17045454545454503,Phoenix,04013
2020-10-14,0.21929012345679,Phoenix,04013
2020-10-15,-4.629629629625265e-05,Phoenix,04013
2020-10-16,0.0,Phoenix,04013
2020-10-17,-0.1305555555555555,Phoenix,04013
2020-10-18,0.45,Phoenix,04013
2020-10-19,0.1010416666666665,Phoenix,04013
2020-10-20,0.4166666666666665,Phoenix,04013
2020-10-21,0.2640625,Phoenix,04013
2020-10-22,-0.15138888888888852,Phoenix,04013
2020-10-23,0.2684244791666665,Phoenix,04013
2020-10-24,0.23796296296296268,Phoenix,04013
2020-10-25,0.2791666666666665,Phoenix,04013
2020-10-26,0.25,Phoenix,04013
2020-10-27,0.0,Phoenix,04013
2020-10-28,-1.0,Phoenix,04013
2020-10-29,-0.25,Phoenix,04013
2020-10-30,-0.12916666666666674,Phoenix,04013
2020-10-31,0.3332320601851852,Phoenix,04013
2020-11-01,0.04036458333333325,Phoenix,04013
2020-11-02,0.0,Phoenix,04013
2020-11-03,0.2,Phoenix,04013
2020-11-04,0.12018611407039133,Phoenix,04013
2020-11-05,-0.14533730158730135,Phoenix,04013
2020-11-06,0.0,Phoenix,04013
2020-11-07,-0.014000000000000002,Phoenix,04013
2020-11-08,0.08541666666666675,Phoenix,04013
2020-11-09,0.5,Phoenix,04013
2020-11-10,0.13030303030303,Phoenix,04013
2020-11-11,0.0,Phoenix,04013
2020-11-12,0.625,Phoenix,04013
2020-11-13,0.12780303030303,Phoenix,04013
2020-11-14,0.16206323438466302,Phoenix,04013
2020-11-15,0.0,Phoenix,04013
2020-11-16,0.008106060606060497,Phoenix,04013
2020-11-17,0.03787878787878767,Phoenix,04013
